HYMN TITLE, Hymn
JESUS KEEP ME NEAR THE CROSS,283
JESUS LOVER OF MY SOUL,284
JESUS LOVER OF MY SOUL,285
I CARE NOT TODAY WHAT THE MORROW MAY BRING,286
IN VAIN IN HIGH AND HOLY LAYS,287
GONE IS ALL MY DEBT OF SIN,288
I HEAR THE SAVIOR SAY,289
JESUS SAVIOR PILOT ME,290
JOY TO THE WORLD THE LORD IS COME!,291
I AM THE VINE AND YE ARE THE BRANCHES,292
JESUS ROSE OF SHARON BLOOM WITHIN MY HEART,293
JESUS THE LOVING SHEPHERD,294
EV'RYBODY OUGHT TO KNOW,295
FOR THE BEAUTY OF THE EARTH,296
SOON THIS LIFE WILL ALL BE OVER,297
I ONCE WAS LOST IN SIN BUT JESUS TOOK ME IN,298
I HAVE DECIDED TO FOLLOW JESUS,299
HEAR THE VOICE OF JESUS SAY,300
JUST BEYOND THE ROLLING RIVER,301
FAR AND NEAR THE FIELDS ARE TEEMING,302
I'VE A HOME PREPARED WHERE THE SAINTS ABIDE,303
HOW PRECIOUS IS THE BOOK DIVINE,304
THERE ARE MANY PATHS THRU THIS WORLD OF SIN,305
I NEED THE PRAYERS OF THOSE WHO LOVE ME,306
WHEN I AM TEMPTED EVIL TO DO,307
KNEEL AT THE CROSS,308
WHEN I COME TO THE RIVER AT ENDING OF DAY,309
LEAD KINDLY LIGHT,310
THROW OUT THE LIFE-LINE ACROSS THE DARK WAVE,311
BRIGHTLY BEAMS OUR FATHER'S MERCY,312
LAUNCH FORTH THOU MIGHTY WORD!,313
TO LOVE SOME ONE MORE DEARLY EV'RY DAY,314
LEAD ME GENTLY HOME,315
WHAT A FELLOWSHIP,316
LORD DISMISS US WITH THY BLESSING,317
LIVE FOR JESUS,318
LET EV'RY HEART REJOICE AND SING,319
LEAN ON THE MIGHTY ARM OF JESUS,320
LET THE LORD BE PRAISED,321
IN THY FIELD I WOULD WIELD SICKLES BRAVE AND TRUE,322
JESUS THE VERY THO'T OF THEE,323
JESUS THOU JOY OF LOVING HEARTS,324
HOW TO REACH THE MASSES MEN OF EV'RY BIRTH?,325
OFTEN I'VE HEARD OF HEAVEN WONDERFUL COUNTRY SOMEWHERE,326
LORD OF ALL BEING,327
LOOKING TO THEE FROM DAY TO DAY,328
WHEN THE ROAD IS ROUGH AND THE WAY IS DIM,329
IN THE GOOD BOOK WE'RE TOLD HOW TO THE SAINTS OF OLD,330
LOVE DIVINE ALL LOVE EXCELLING,331
LIVING FOR JESUS A LIFE THAT IS TRUE,332
HEAR US HEAV'NLY FATHER,333
MY COUNTRY 'TIS OF THEE,334
LORD DISMISS US WITH THY BLESSING,335
ONCE FROM MY POOR SIN-SICK SOUL,336
LOW IN THE GRAVE HE LAY,337
LORD WE COME BEFORE THEE NOW,338
